country,region,population,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,population_urban,world_share,long_term_avg_growth,initial_pop_1950,final_pop_2023,long_term_growth_multiple
Ukraine,Europe,36744634,-7.45,-2957105,63,579320,1784718,1.3,45.0,82.0,0.46,-0.007876841007975905,37302996.0,36744634.0,0.9850317116619802
United Arab Emirates,Asia,9516871,0.8,75742,114,83600,0,1.4,34.0,94.0,0.12,6.970527420770231,74591.0,9516871.0,127.58738989958574
United Kingdom,Europe,67736802,0.34,227866,280,241930,165790,1.6,40.0,85.0,0.84,0.4155181054515029,50055065.0,67736802.0,1.3532457104990274
United States,North America,339996563,0.5,1706706,37,9147420,999700,1.7,38.0,83.0,4.23,1.1438100303520942,148281550.0,339996563.0,2.292912118871161
Uruguay,Latin America,3423108,0.01,314,20,175020,-1500,1.5,36.0,99.0,0.04,0.5869745442485477,2234144.0,3423108.0,1.5321787673489264
Uzbekistan,Asia,35163944,1.55,536292,83,425400,-19999,2.8,27.0,49.0,0.44,2.398231859407182,6247550.0,35163944.0,5.628437387455882
Vanuatu,Oceania,334506,2.38,7766,27,12190,0,3.7,20.0,24.0,0.0,2.594977341563111,51568.0,334506.0,6.486697176543593
Venezuela,Latin America,28838499,1.9,536803,33,882050,321106,2.2,28.0,63.888888888888886,0.36,2.30882539556766,5488614.0,28838499.0,5.2542406880862815
Vietnam,Asia,98858950,0.68,672094,319,310070,-82700,1.9,33.0,40.0,1.23,1.8976134609934046,25109200.0,98858950.0,3.9371604830102114
Wallis & Futuna,Oceania,11502,-0.6,-70,82,140,-119,1.9,37.0,0.0,0.0,0.4246525508255059,8535.0,11502.0,1.347627416520211
Western Sahara,Africa,587259,1.96,11273,2,266000,5600,2.2,32.0,95.0,0.01,5.458569062046475,12982.0,587259.0,45.23640425204129
Yemen,Asia,34449825,2.24,753211,65,527970,-29914,3.6,19.0,37.0,0.43,2.764893100165045,4712810.0,34449825.0,7.30982683367248
Zambia,Africa,20569737,2.76,552062,28,743390,-5000,4.2,17.0,46.0,0.26,3.03586247534483,2318448.0,20569737.0,8.872201144903832
Zimbabwe,Africa,16665409,2.11,344872,43,386850,-9999,3.4,18.0,37.0,0.21,2.484107179257385,2791326.0,16665409.0,5.970427316622995
