country,region,population,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,population_urban,world_share,long_term_avg_growth,initial_pop_1950,final_pop_2023,long_term_growth_multiple
Hungary,Europe,10156239,1.9,188931,112,90530,-156677,1.6,42.0,68.0,0.13,0.11660374792383063,9337714.0,10156239.0,1.0876579642512074
Iceland,Europe,375318,0.65,2419,4,100250,380,1.7,36.0,88.0,0.0,1.3357971553689767,142650.0,375318.0,2.6310410094637224
India,Asia,1428627663,0.81,11454490,481,2973190,-486136,2.0,28.0,36.0,17.76,1.918755775736049,357021100.0,1428627663.0,4.001521655162678
Indonesia,Asia,277534122,0.74,2032783,153,1811570,-49997,2.1,30.0,59.0,3.45,1.915497134536854,69567619.0,277534122.0,3.9894152766677267
Iran,Asia,89172767,0.7,622197,55,1628550,-39998,1.7,33.0,74.0,1.11,2.3151629885815104,16832834.0,89172767.0,5.2975492421537576
Iraq,Asia,45504560,2.27,1008438,105,434320,-6000,3.4,20.0,71.0,0.57,2.901138973889884,5656471.0,45504560.0,8.044690762137735
Ireland,Europe,5056935,0.67,33826,73,68890,9999,1.8,38.0,64.0,0.06,0.7643994748570339,2906599.0,5056935.0,1.739811718093896
Isle of Man,Europe,84710,0.23,191,149,570,340,1.6,46.0,55.0,0.0,0.6026702827302138,54813.0,84710.0,1.545436301607283
Israel,Asia,9174520,1.51,136211,424,21640,9999,2.9,29.0,92.0,0.11,2.734930234570893,1284157.0,9174520.0,7.1443912231915565
Italy,Europe,58870762,-0.28,-166712,200,294140,58496,1.3,48.0,72.0,0.73,0.32750325400062313,46391938.0,58870762.0,1.2689869088892125
Jamaica,Latin America,2825544,-0.06,-1833,261,10830,-10999,1.3,32.0,59.0,0.04,0.9606534444043061,1407470.0,2825544.0,2.0075340859840707
Japan,Asia,123294513,-0.53,-657179,338,364555,99994,1.3,49.0,94.0,1.53,0.5228931152147822,84353049.0,123294513.0,1.461648564712818
Jordan,Asia,11337052,0.45,51183,128,88780,-157392,2.7,24.0,85.0,0.14,4.579073544167904,438386.0,11337052.0,25.860889718193555
Kazakhstan,Asia,19606633,1.08,208635,7,2699700,0,3.0,30.0,57.0,0.24,1.5002836280402014,6655675.0,19606633.0,2.9458519233586378
Kenya,Africa,55100586,1.99,1073099,97,569140,-10000,3.2,20.0,31.0,0.68,3.140160309024848,5774050.0,55100586.0,9.54279682371992
Kiribati,Oceania,133515,1.74,2283,165,810,-400,3.2,22.0,56.0,0.0,1.7443937681409436,37846.0,133515.0,3.527849706706125
Kuwait,Asia,4310108,0.97,41235,242,17820,11999,2.1,40.0,58.28888888888889,0.05,4.854580035731625,153738.0,4310108.0,28.035410893858383
Kyrgyzstan,Asia,6735347,1.58,104724,35,191800,-9999,2.9,24.0,37.0,0.08,1.86485889339875,1751225.0,6735347.0,3.8460774600636696
Laos,Asia,7633779,1.39,104304,33,230800,-9999,2.4,24.0,37.0,0.09,2.0926145248820447,1684674.0,7633779.0,4.531309321566072
Latvia,Europe,1830211,-1.1,-20440,29,62200,-7630,1.6,44.0,69.0,0.02,-0.06199117964350795,1922525.0,1830211.0,0.9519829391035227
Lebanon,Asia,5353930,-2.47,-135809,523,10230,-177331,2.1,29.0,97.0,0.07,1.957177029298576,1349588.0,5353930.0,3.967084769574122
Lesotho,Africa,2330318,1.06,24493,77,30360,-4000,2.9,22.0,31.0,0.03,1.931460350479691,579470.0,2330318.0,4.021464441644952
Liberia,Africa,5418377,2.18,115696,56,96320,-5000,4.0,18.0,54.0,0.07,2.5078005704087,915894.0,5418377.0,5.915943329686623
Libya,Africa,6888388,1.12,76047,4,1759540,-2000,2.4,27.0,82.0,0.09,2.5207938825926592,1130677.0,6888388.0,6.092268614290377
Liechtenstein,Europe,39584,0.65,257,247,160,150,1.5,44.0,15.0,0.0,1.459130309673363,13765.0,39584.0,2.8756992371957866
Lithuania,Europe,2718352,-1.15,-31703,43,62674,-13128,1.6,44.0,71.0,0.03,0.08503806374152825,2564798.0,2718352.0,1.059869822106848
Luxembourg,Europe,654768,1.11,7169,253,2590,4883,1.4,39.0,88.0,0.01,1.0926704128606852,296584.0,654768.0,2.2076983249264965
Macao,Asia,704149,1.29,8981,23472,30,5000,1.1,39.0,97.0,0.01,1.77623927043801,196838.0,704149.0,3.5773021469431714
Madagascar,Africa,30325732,2.41,714018,52,581795,-1500,3.7,19.0,40.0,0.38,2.8303822944496235,3953896.0,30325732.0,7.669835524252535
Malawi,Africa,20931751,2.58,526434,222,94280,-6000,3.8,17.0,19.0,0.26,2.7250088625100406,2949739.0,20931751.0,7.096136641241818
Malaysia,Asia,34308525,1.09,370304,104,328550,48997,1.8,31.0,78.0,0.43,2.425153030781452,5972876.0,34308525.0,5.744054455508536
Maldives,Asia,521021,-0.53,-2766,1737,300,-8652,1.7,32.0,39.0,0.01,2.7040956915972294,74484.0,521021.0,6.9950727673057305
Mali,Africa,23293698,3.1,700108,19,1220190,-39998,5.8,15.0,44.0,0.29,2.2211794718562174,4694916.0,23293698.0,4.9614727931234555
Malta,Europe,535064,0.33,1778,1672,320,850,1.2,40.0,78.0,0.01,0.8375502858951892,291873.0,535064.0,1.8332082789432391
Marshall Islands,Oceania,41996,1.03,427,233,180,0,2.6,26.0,50.47368421052632,0.0,1.6383753838219166,13066.0,41996.0,3.214143578754018
Martinique,Latin America,366981,-0.14,-526,346,1060,-650,1.9,47.0,94.0,0.0,0.6369630139843983,231994.0,366981.0,1.5818555652301352
Mauritania,Africa,4862989,2.68,126850,5,1030700,3000,4.3,18.0,61.0,0.06,2.777343338360665,658555.0,4862989.0,7.38433236403945
Mauritius,Africa,1300557,0.08,1088,641,2030,0,1.4,37.0,40.0,0.02,1.252532379890599,525443.0,1300557.0,2.475162862575008
Mayotte,Africa,335995,3.03,9894,896,375,0,4.3,17.0,40.0,0.0,3.9107158398361044,20544.0,335995.0,16.35489680685358
Mexico,Latin America,128455567,0.75,951442,66,1943950,-50239,1.8,30.0,88.0,1.6,2.1322867984646336,27600133.0,128455567.0,4.654164782466809
